Date,City,Country,co,no2,o3,pm10,pm25,so2
1/1/2020,Kagoshima,JP,2.3,2.8,25.6,7,30,1.5
1/1/2020,Kanazawa,JP,2.3,1.9,28.1,4,13,1.5
1/1/2020,Kaohsiung,TW,5.9,18.6,12.1,48,80,4.3
1/1/2020,Katowice,PL,2.2,4.4,22,23,66,3.6
1/1/2020,Kayseri,TR,7.6,0.1,8.8,34,70,2.6
1/1/2020,Kecskemét,HU,6.7,4.5,15.2,23,50,0.5
1/1/2020,Keelung,TW,2.6,3.8,28.1,11,21,1.5
1/1/2020,Kobe,JP,3.4,4.7,23.3,6,25,1.5
1/1/2020,Kolkata,IN,12,32.2,5.1,153,198,6.1
1/1/2020,Konya,TR,8.3,18.1,5.4,43,94,4.3
1/1/2020,Kraków,PL,5.8,9.2,21.2,22,57,2.7
1/1/2020,Kumamoto,JP,2.3,4.7,16,10,38,2.9
1/1/2020,Kunming,CN,6.4,9.6,15.9,24,59,4.1
1/1/2020,Kyoto,JP,3.4,5.6,24.1,7,25,1.5
1/1/2020,Lampang,TH,0.1,2.4,11.1,27,65,1.1
1/1/2020,Lanzhou,CN,19.9,40.3,5.7,85,158,17.3
1/1/2020,Las Palmas de Gran Canaria,ES,0.1,3.7,31.3,51,50,1.1
1/1/2020,Las Vegas,US,0.1,10.6,8.2,14,47,0.9
1/1/2020,Leeds,GB,1.9,13.5,8.5,28,85,2.7
1/1/2020,Lhasa,CN,6.4,10.1,20.8,29,53,3.1
1/1/2020,Lima,PE,11.2,5,3.9,31,65,4.7
1/1/2020,Liège,BE,0.1,12.4,3.3,21,68,1.6
1/1/2020,London,GB,6.4,19.9,1.1,33,95,1.6
1/1/2020,Madrid,ES,0.1,26.6,0.8,36,93,4.6
1/1/2020,Marseille,FR,0.1,16.2,2.8,31,86,0.8
1/1/2020,Matsuyama,JP,4.5,3.8,19.2,6,17,1.5
1/1/2020,Mexico City,MX,5.6,7.8,16,33,34,3.4
1/1/2020,Milan,IT,0.1,34.8,13.5,100,187,3.6
1/1/2020,Milwaukee,US,2.6,6.6,18.8,10,28,0.3
1/1/2020,Miskolc,HU,12.2,10.7,2.5,67,158,6.4
1/1/2020,Mokpo,KR,5.6,7.5,17.6,20,46,4.3
1/1/2020,Monterrey,MX,13.5,4.3,12.8,27,69,10.5
1/1/2020,Moscow,RU,1.7,6.6,20.6,7,25,0.7
1/1/2020,Mumbai,IN,11.2,21.3,8.7,111,179,5
1/1/2020,Muzaffarnagar,IN,18.4,16.2,5.2,256,296,6.6
1/1/2020,Mysore,IN,3.8,5.3,7.4,25,72,2.1
1/1/2020,Nagoya,JP,2.3,3.8,26.4,6,21,2.9
1/1/2020,Nagpur,IN,2.5,10.2,5.7,53,87,1.7
1/1/2020,Naha,JP,2.3,2.8,32.8,9,17,1.5
1/1/2020,Nakhon Pathom,TH,0.1,8.7,7.5,51,99,1.1
1/1/2020,Nanchang,CN,7.3,22.9,12.2,65,129,7.1
1/1/2020,Nanjing,CN,5.5,24.3,9.4,52,104,3.1
1/1/2020,Nanning,CN,9.1,13.8,25.6,57,122,5.6
1/1/2020,Naples,IT,7.3,13,10.8,69,163,1.8
1/1/2020,Nara-shi,JP,3.4,3.8,24.1,7,21,2.9
1/1/2020,Nashik,IN,10.1,1.9,22.1,93,143,1.5
1/1/2020,Nizhniy Novgorod,RU,1.8,5.9,15.5,3,13,0.3
1/1/2020,Niš,RS,4.4,7.1,10.7,48,137,5.2
1/1/2020,Novi Sad,RS,8.9,7.5,7.3,47,129,3.6
1/1/2020,Novosibirsk,RU,2.3,10.9,12.8,23,71,0.7
1/1/2020,Oaxaca,MX,19.5,8,10.8,41,55,38.2
1/1/2020,Okayama,JP,3.4,4.7,22.4,6,25,4.3
1/1/2020,Osaka,JP,3.4,5.6,24.8,7,25,2.9
1/1/2020,Oviedo,ES,0.1,8.3,11,27,68,2.6
1/1/2020,Pachuca de Soto,MX,13.3,4,13.5,63,75,2.8
1/1/2020,Paris,FR,0.1,16.9,2.2,22,70,0.4
1/1/2020,Perth,AU,3,3.4,7,18,34,2.9
1/1/2020,Phoenix,US,7.8,11,8.8,27,72,0.1
1/1/2020,Pohang,KR,4.5,8.4,24.1,19,50,4.3
1/1/2020,Potsdam,DE,0.1,10.9,17.8,21,62,1.8
1/1/2020,Pristina,XK,45.7,16.7,8.9,29,91,7.1
1/1/2020,Pécs,HU,4.7,6.9,12.8,20,60,1.6
1/1/2020,Płock,PL,2.5,2.4,21.6,17,58,0.8
1/1/2020,Qingdao,CN,0.1,18.3,14.7,55,109,4.6
1/1/2020,Qinhuangdao,CN,7.2,21.5,7,54,97,11.2
1/1/2020,Qiqihar,CN,5.5,7.4,21.2,30,76,7.6
1/1/2020,Rayong,TH,0.1,4.1,10.3,40,63,1.1
1/1/2020,Rijeka,HR,0.1,2.3,19.7,15,47,2.3
1/1/2020,Rome,IT,0.1,14.2,10.6,41,107,0.4
1/1/2020,Saitama,JP,2.3,3.8,28.1,4,17,1.5
1/1/2020,Samut Prakan,TH,0.1,7,12.3,50,80,2.2
1/1/2020,Santa Cruz de Tenerife,ES,0.1,6.9,28.5,38,55,2.1
1/1/2020,Santiago,CL,6,8.8,20.7,53,69,13.5
1/1/2020,Sapporo,JP,2.3,8.4,24.1,7,21,1.5
1/1/2020,Sarajevo,BA,2.7,9.2,4.9,126,252,47.7
1/1/2020,Sejong,KR,5.6,15.8,8.8,29,68,4.3
1/1/2020,Sendai,JP,0.1,2.8,28.9,3,13,4.3
1/1/2020,Seongnam-si,KR,5.6,25.1,6.4,30,70,4.3
1/1/2020,Seoul,KR,6.7,33.4,3.2,30,70,5.8
1/1/2020,Shanghai,CN,4.1,17.9,15.9,24,57,3.1
1/1/2020,Shantou,CN,6.7,9.2,29.7,28,65,4.1
1/1/2020,Shenyang,CN,11.8,27.5,5.7,73,158,15.8
1/1/2020,Shenzhen,CN,6.7,13.8,15.5,58,122,3.1
1/1/2020,Shijiazhuang,CN,11.6,26.6,4.1,91,155,13.7
1/1/2020,Shillong,IN,5.4,4.1,7.4,85,117,6
1/1/2020,Shizuoka,JP,2.3,2.8,19.2,5,17,1.5
1/1/2020,Skopje,MK,5,7,7.9,47,86,1.8
1/1/2020,Suncheon,KR,5.6,5.6,26.4,14,46,4.3
1/1/2020,Surrey,CA,0.1,2.2,13.2,7,10,0.2
1/1/2020,Suwon,KR,5.6,23.2,6.4,30,72,4.3
1/1/2020,Swansea,GB,5.7,8.7,11.6,21,61,1.1
1/1/2020,Sydney,AU,2.3,1.9,17.6,52,76,1.5
1/1/2020,Szeged,HU,2.9,5.9,7.4,25,78,3.7
1/1/2020,São José dos Campos,BR,5.5,3.2,19.9,23,34,0.6
1/1/2020,São Paulo,BR,3.7,7.4,20.4,20,55,1.1
1/1/2020,Taichung,TW,3.8,10.2,17.6,20,42,2.9
1/1/2020,Tainan,TW,3.9,11.2,17.6,37,63,3.3
1/1/2020,Taipei,TW,3.7,11.2,24.1,15,34,2
1/1/2020,Taitung City,TW,3.4,3.8,25.6,5,13,1.5
1/1/2020,Taiyuan,CN,14.8,30.2,4.1,89,162,30.4
1/1/2020,Takamatsu,JP,3.4,2.8,27.2,7,17,2.9
1/1/2020,Talca,CL,8.7,2.5,10.4,30,51,1.4
1/1/2020,Taoyuan City,TW,3.7,7.5,25.6,17,30,2.9
1/1/2020,Tbilisi,GE,4.6,11.4,9.4,18,50,1.6
1/1/2020,Tehran,IR,26,55,4,57,98,9
1/1/2020,Tel Aviv,IL,4.5,26.3,5.6,52,72,1.3
1/1/2020,Thiruvananthapuram,IN,12.2,9.9,14.4,55,100,5.2
1/1/2020,Thrissur,IN,10.3,4.8,13.8,89,39,5.4
1/1/2020,Tokyo,JP,4.5,4.7,28.1,5,17,1.5
1/1/2020,Trabzon,TR,4.4,16.2,13.5,34,60,2.2
1/1/2020,Tucson,US,3,10.4,11.4,12,38,0.3
1/1/2020,Ulan Bator,MN,0.3,12.6,1.7,80,195,21.7
1/1/2020,Ulsan,KR,4.5,10.2,22.4,16,42,4.3
1/1/2020,Utrecht,NL,2.8,13.6,3.9,43,101,0.1
1/1/2020,Utsunomiya,JP,3.4,5.6,19.2,6,21,1.5
1/1/2020,Valladolid,ES,0.1,11,2.5,20,61,2.6
1/1/2020,Vancouver,CA,0.1,2.3,13.2,5,6,0.2
1/1/2020,Vereeniging,ZA,6.5,2.3,16.7,42,87,2.1
1/1/2020,Visakhapatnam,IN,10.3,12.1,28.8,77,156,4.2
1/1/2020,Vitória,BR,0.9,1.5,16.8,11.2,12.1,10.4
1/1/2020,Wollongong,AU,5.6,1.9,17.6,63,108,5.8
1/1/2020,Wrocław,PL,2.8,8.2,24.6,16,55,1.8
1/1/2020,Wuhan,CN,7.8,25.6,3.7,61,114,5.1
1/1/2020,Xiamen,CN,5.5,5.5,33.3,20,57,2.1
