,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2019,Hāpur,IN,14.3,42.5,2.4,274.0,347.0,7.7
1/1/2019,Incheon,KR,6.7,18.6,16.8,35.0,76.0,7.2
1/1/2019,Istanbul,TR,7.8,12.4,20.4,29.0,61.0,4.6
1/1/2019,Jacksonville,US,6.6,4.6,6.5,18.0,53.0,0.6
1/1/2019,Jaipur,IN,12.6,19.5,3.1,118.0,166.0,8.1
1/1/2019,Jeju City,KR,3.4,6.5,31.2,19.0,55.0,2.9
1/1/2019,Jeonju,KR,6.7,16.7,16.8,43.0,95.0,7.2
1/1/2019,Jieyang,CN,7.7,10.1,7.8,36.0,80.0,5.1
1/1/2019,Jinan,CN,0.1,33.4,6.5,100.0,171.0,18.3
1/1/2019,Johannesburg,ZA,4.1,4.2,6.1,20.0,57.0,1.6
1/1/2019,Kagoshima,JP,2.3,4.7,18.4,10.0,50.0,2.9
1/1/2019,Kanazawa,JP,1.2,2.8,28.1,4.0,13.0,1.5
1/1/2019,Kaohsiung,TW,5.7,18.6,12.1,52.0,85.0,4.3
1/1/2019,Karaj,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/1/2019,Katowice,PL,6.2,5.5,13.7,21.0,71.0,4.2
1/1/2019,Kecskemét,HU,4.5,4.0,16.0,16.0,26.0,0.2
1/1/2019,Keelung,TW,2.7,2.8,31.2,10.0,21.0,2.9
1/1/2019,Kobe,JP,3.4,7.5,20.8,9.0,34.0,2.9
1/1/2019,Kochi,JP,3.4,3.8,21.6,7.0,25.0,1.5
1/1/2019,Kolkata,IN,8.2,41.7,2.5,159.0,235.0,7.2
1/1/2019,Kraków,PL,7.5,9.3,17.5,13.0,56.0,2.8
1/1/2019,Kumamoto,JP,2.3,5.6,12.8,12.0,46.0,2.9
1/1/2019,Kunming,CN,10.0,11.5,11.4,24.0,59.0,4.1
1/1/2019,Kyoto,JP,3.4,8.4,19.2,10.0,38.0,2.9
1/1/2019,Kütahya,TR,7.1,17.0,12.6,52.0,93.0,19.3
1/1/2019,Lampang,TH,0.1,2.4,7.5,22.0,59.0,1.1
1/1/2019,Lanzhou,CN,26.2,40.3,2.1,95.0,176.0,14.7
1/1/2019,Leeds,GB,3.3,9.6,22.7,15.0,36.0,1.8
1/1/2019,Lhasa,CN,7.3,15.1,15.1,34.0,72.0,3.1
1/1/2019,Lima,PE,13.8,7.3,7.0,31.0,56.0,16.1
1/1/2019,Livorno,IT,0.1,30.7,27.3,25.0,72.0,2.7
1/1/2019,Liège,BE,0.1,6.9,16.7,15.0,51.0,0.6
1/1/2019,London,GB,7.6,12.0,14.9,11.0,30.0,0.9
1/1/2019,Los Angeles,US,6.9,22.3,6.4,32.0,44.0,1.5
1/1/2019,Macau,MO,5.5,14.9,6.2,28.0,66.0,3.4
1/1/2019,Madrid,ES,0.1,26.8,3.7,27.0,66.0,8.7
1/1/2019,Marseille,FR,0.1,11.5,7.0,20.0,59.0,1.1
1/1/2019,Matsuyama,JP,7.8,4.7,23.3,7.0,30.0,1.5
1/1/2019,Melbourne,AU,1.2,2.8,12.8,14.0,27.0,1.5
1/1/2019,Metz,FR,1.9,4.2,18.3,15.0,50.0,1.4
1/1/2019,Mexico City,MX,8.9,17.9,24.8,59.0,124.0,4.3
1/1/2019,Middelburg,ZA,4.5,3.2,10.2,12.0,38.0,1.1
1/1/2019,Milan,IT,0.1,26.1,2.9,68.0,155.0,1.6
1/1/2019,Miskolc,HU,6.9,7.9,6.6,33.0,84.0,4.9
1/1/2019,Mokpo,KR,6.7,5.6,20.8,21.0,55.0,5.8
1/1/2019,Monterrey,MX,0.0,0.0,0.0,0.0,0.0,0.0
1/1/2019,Morelia,MX,23.7,15.6,5.9,72.0,157.0,7.2
1/1/2019,Mumbai,IN,15.4,38.0,16.1,122.0,169.0,13.5
1/1/2019,Muzaffarnagar,IN,16.2,30.4,8.2,284.0,310.0,3.7
1/1/2019,Nagoya,JP,3.4,10.2,17.6,10.0,42.0,1.5
1/1/2019,Naha,JP,3.4,3.8,30.4,7.0,13.0,1.5
1/1/2019,Nanchang,CN,8.2,10.6,13.0,47.0,109.0,2.1
1/1/2019,Nancy,FR,1.0,6.9,19.1,14.0,42.0,1.4
1/1/2019,Nanjing,CN,5.5,17.0,18.3,57.0,134.0,5.6
1/1/2019,Nanning,CN,7.3,10.1,12.6,28.0,70.0,4.6
1/1/2019,Nantes,FR,0.1,3.9,23.7,10.0,32.0,0.6
