,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/1/2020,Hsinchu,TW,2.8,8.4,25.6,13.0,30.0,2.9
1/1/2020,Huế,VN,5.0,4.0,11.0,13.0,18.0,5.0
1/1/2020,Hyderabad,IN,5.7,8.8,12.3,55.0,112.0,1.2
1/1/2020,Hāpur,IN,9.2,23.2,1.1,189.0,222.0,4.7
1/1/2020,Incheon,KR,6.7,32.5,4.8,30.0,68.0,5.8
1/1/2020,Istanbul,TR,16.3,18.4,4.8,24.0,65.0,7.2
1/1/2020,Jaipur,IN,8.1,14.5,20.3,89.0,151.0,5.6
1/1/2020,Jeju City,KR,3.4,7.5,26.4,17.0,38.0,1.5
1/1/2020,Jeonju,KR,4.5,12.1,13.6,23.0,63.0,4.3
1/1/2020,Jieyang,CN,7.3,9.6,26.4,38.0,93.0,5.6
1/1/2020,Jinan,CN,0.1,16.0,14.3,61.0,112.0,7.1
1/1/2020,Johannesburg,ZA,4.9,4.2,11.8,31.0,112.0,1.3
1/1/2020,Kagoshima,JP,2.3,2.8,25.6,7.0,30.0,1.5
1/1/2020,Kanazawa,JP,2.3,1.9,28.1,4.0,13.0,1.5
1/1/2020,Kaohsiung,TW,5.9,18.6,12.1,48.0,80.0,4.3
1/1/2020,Katowice,PL,2.2,4.4,22.0,23.0,66.0,3.6
1/1/2020,Kayseri,TR,7.6,0.1,8.8,34.0,70.0,2.6
1/1/2020,Kecskemét,HU,6.7,4.5,15.2,23.0,50.0,0.5
1/1/2020,Keelung,TW,2.6,3.8,28.1,11.0,21.0,1.5
1/1/2020,Kobe,JP,3.4,4.7,23.3,6.0,25.0,1.5
1/1/2020,Kolkata,IN,12.0,32.2,5.1,153.0,198.0,6.1
1/1/2020,Konya,TR,8.3,18.1,5.4,43.0,94.0,4.3
1/1/2020,Kraków,PL,5.8,9.2,21.2,22.0,57.0,2.7
1/1/2020,Kumamoto,JP,2.3,4.7,16.0,10.0,38.0,2.9
1/1/2020,Kunming,CN,6.4,9.6,15.9,24.0,59.0,4.1
1/1/2020,Kyoto,JP,3.4,5.6,24.1,7.0,25.0,1.5
1/1/2020,Lampang,TH,0.1,2.4,11.1,27.0,65.0,1.1
1/1/2020,Lanzhou,CN,19.9,40.3,5.7,85.0,158.0,17.3
1/1/2020,Las Palmas de Gran Canaria,ES,0.1,3.7,31.3,51.0,50.0,1.1
1/1/2020,Las Vegas,US,0.1,10.6,8.2,14.0,47.0,0.9
1/1/2020,Leeds,GB,1.9,13.5,8.5,28.0,85.0,2.7
1/1/2020,Lhasa,CN,6.4,10.1,20.8,29.0,53.0,3.1
1/1/2020,Lima,PE,11.2,5.0,3.9,31.0,65.0,4.7
1/1/2020,Liège,BE,0.1,12.4,3.3,21.0,68.0,1.6
1/1/2020,London,GB,6.4,19.9,1.1,33.0,95.0,1.6
1/1/2020,Madrid,ES,0.1,26.6,0.8,36.0,93.0,4.6
1/1/2020,Marseille,FR,0.1,16.2,2.8,31.0,86.0,0.8
1/1/2020,Matsuyama,JP,4.5,3.8,19.2,6.0,17.0,1.5
1/1/2020,Mexico City,MX,5.6,7.8,16.0,33.0,34.0,3.4
1/1/2020,Milan,IT,0.1,34.8,13.5,100.0,187.0,3.6
1/1/2020,Milwaukee,US,2.6,6.6,18.8,10.0,28.0,0.3
1/1/2020,Miskolc,HU,12.2,10.7,2.5,67.0,158.0,6.4
1/1/2020,Mokpo,KR,5.6,7.5,17.6,20.0,46.0,4.3
1/1/2020,Monterrey,MX,13.5,4.3,12.8,27.0,69.0,10.5
1/1/2020,Moscow,RU,1.7,6.6,20.6,7.0,25.0,0.7
