date, pm25, o3, no2, so2, co
2020/1/3, 14, 12, 2, , 2
2020/1/4, 26, 9, 3, , 2
2020/1/5, 40, 11, 1, , 1
2020/1/6, 26, 14, 1, , 1
2020/1/7, 16, 12, 4, , 2
2020/1/8, 24, 14, 2, , 1
2020/1/9, 18, 15, , , 1
2020/1/10, 18, 16, 2, , 1
2020/1/11, 21, 14, 2, , 1
2020/1/12, 27, 14, , , 1
2020/1/13, 15, 16, 1, , 1
2020/1/14, 20, 15, 3, , 2
2020/1/15, 22, 12, 7, , 2
2020/1/16, 31, 11, 4, , 1
2020/1/17, 25, 16, , , 1
2020/1/18, 21, 16, , , 1
2020/1/19, 17, 16, 1, , 1
2020/1/20, 16, 16, 1, , 1
2020/1/21, 18, 15, 2, , 1
2020/1/22, 13, 13, 6, , 2
2020/1/23, 29, 14, 6, , 2
2020/1/24, 27, 13, 4, , 2
2020/1/25, 27, 11, 7, , 2
2020/1/26, 40, 16, 5, , 2
2020/1/27, 38, 15, 1, , 1
2020/1/28, 17, 11, 3, , 2
2020/1/29, 25, 15, , , 1
2020/1/30, 11, 16, 2, , 1
2020/1/31, 16, 16, 2, , 1
2020/2/1, 14, 15, 5, , 2
2019/10/2, 16, 13, , , 
2019/10/3, 11, 10, 1, , 
2019/10/4, 11, 10, 1, , 1
2019/10/5, 10, 11, , , 
2019/10/6, 12, 11, 1, , 1
2019/10/7, 17, 14, , , 
2019/10/8, 19, 14, 1, , 1
2019/10/9, 16, 10, 2, , 1
2019/10/10, 20, 9, 3, 4, 1
2019/10/11, 22, 9, 1, , 1
2019/10/12, 16, 14, , , 
2019/10/13, 20, 12, , , 
2019/10/14, 12, 15, , , 
2019/10/15, 17, 11, 1, , 
2019/10/16, 9, 9, 1, , 1
2019/10/17, 18, 15, 1, , 1
2019/10/18, 25, 15, , , 1
2019/10/19, 31, 9, , , 
2019/10/20, 11, 11, , , 
2019/10/21, 13, 9, 2, , 1
2019/10/22, 18, 12, 1, , 1
2019/10/23, 20, 14, , , 
2019/10/24, 13, 14, 1, , 1
2019/10/25, 16, 12, 1, , 1
2019/10/26, 20, 11, 1, , 1
2019/10/27, 17, 14, , , 
2019/10/28, 12, 12, , , 
2019/10/29, 10, 14, 2, , 1
2019/10/30, 19, 12, 2, , 1
2019/10/31, 27, 14, 1, , 1
2019/11/1, 23, 18, , , 
2019/11/2, 36, 12, 1, , 1
2019/11/3, 23, 13, 1, , 1
2019/11/4, 21, 11, 3, , 1
2019/11/5, 26, 8, 2, , 1
2019/11/6, 25, 16, , , 
2019/11/7, 17, 14, 1, , 1
2019/11/8, 16, 15, , , 
2019/11/9, 14, 14, , , 
2019/11/10, 15, 13, 1, , 1
2019/11/11, 16, 13, , , 
2019/11/12, 21, 17, , , 
2019/11/13, 34, 16, , , 
2019/11/14, 12, 15, 2, , 1
2019/11/15, 22, 16, 1, , 1
2019/11/16, 21, 14, , , 
2019/11/17, 17, 14, 2, , 1
2019/11/18, 30, 14, 4, , 2
2019/11/19, 44, 16, , , 
2019/11/20, 11, 14, , , 
2019/11/21, 12, 15, , , 
2019/11/22, 16, 16, 1, , 
2019/11/23, 17, 15, , , 
2019/11/24, 13, 13, 1, , 1
2019/11/25, 25, 16, , , 
2019/11/26, 14, 12, , , 1
2019/11/27, 18, 13, , , 
2019/11/28, 24, 11, 1, , 1
2019/11/29, 24, 14, , , 
2019/11/30, 17, 16, , , 
2019/12/1, 12, 17, , , 
2019/12/2, 23, 16, 1, , 1
2019/12/3, 31, 16, 1, , 
2019/12/4, 19, 14, 1, , 1
2019/12/5, 17, 11, 4, , 2
2019/12/6, 44, 13, 1, , 1
2019/12/7, 21, 15, , , 1
2019/12/8, 14, 14, , , 1
2019/12/9, 15, 14, , , 1
2019/12/10, 23, 16, , , 1
2019/12/11, 17, 14, , , 1
2019/12/12, 11, 14, 1, , 1
2019/12/13, 17, 13, 3, , 2
2019/12/14, 34, 14, 2, , 1
2019/12/15, 18, 14, , , 1
2019/12/16, 21, 15, , , 1
2019/12/17, 20, 15, , , 1
2019/12/18, 21, 14, 1, , 1
2019/12/19, 22, 14, 1, , 1
2019/12/20, 16, 15, , , 1
2019/12/21, 20, 14, 1, , 1
2019/12/22, 14, 12, 2, , 2
2019/12/23, 23, 12, 1, , 1
2019/12/24, 19, 14, , , 1
2019/12/25, 18, 15, , , 1
2019/12/26, 11, 14, , , 1
2019/12/27, 16, 13, 1, , 1
2019/12/28, 29, 12, , , 1
2019/12/29, 13, 12, , , 1
2019/12/30, 15, , , , 
2019/7/2, 9, 7, , , 
2019/7/3, 9, 8, , , 
2019/7/4, 10, 9, , , 1
2019/7/5, 26, 11, 1, , 2
2019/7/6, 40, 17, 1, , 12
2019/7/7, 61, 10, , , 3
2019/7/8, 20, 11, , , 
2019/7/9, 20, 12, , , 
2019/7/10, 24, 8, , , 
2019/7/11, 12, 10, , , 47
2019/7/12, 19, 7, , , 
2019/7/13, 23, , , , 
2019/7/19, 14, 11, , , 1
2019/7/20, 16, 10, , , 1
2019/7/21, 23, 10, , , 1
2019/7/22, 38, 11, , , 1
2019/7/23, 31, 12, , , 1
2019/7/24, 27, 11, , , 
2019/7/25, 18, 11, , 1, 1
2019/7/26, 30, 8, , 1, 1
2019/7/27, 22, 10, , , 1
2019/7/28, 31, 10, , , 1
2019/7/29, 23, 11, , , 1
2019/7/30, 27, 11, , , 1
2019/7/31, 43, 15, , , 1
2019/8/1, 39, 14, 1, , 1
2019/8/2, 39, 11, 1, , 1
2019/8/3, 27, 12, , , 1
2019/8/4, 30, 15, , , 1
2019/8/5, 30, 8, , , 1
2019/8/6, 20, 8, , , 1
2019/8/7, 17, 8, 1, , 1
2019/8/8, 20, 11, , , 1
2019/8/9, 21, 19, , , 1
2019/8/10, 15, 14, , , 1
2019/8/11, 33, 12, , , 1
2019/8/12, 19, 8, , , 1
2019/8/13, 17, 14, 1, , 1
2019/8/14, 29, 8, 1, , 1
2019/8/15, 18, 11, 1, , 1
2019/8/16, 20, 10, 1, , 1
2019/8/17, 22, 10, , , 1
2019/8/18, 17, 9, , , 1
2019/8/19, 17, 10, , , 1
2019/8/20, 12, 12, , , 1
2019/8/21, 22, 12, 1, , 1
2019/8/22, 26, 13, , , 1
2019/8/23, 30, 12, , , 1
2019/8/24, 30, 14, , , 1
2019/8/25, 19, 8, , , 1
2019/8/26, 14, , , , 
2019/8/28, 4, 11, 1, , 1
2019/8/29, 19, 11, , , 1
2019/8/30, 23, 11, 1, , 1
2019/8/31, 18, 13, , , 1
2019/9/1, 26, 10, , , 1
2019/9/2, 21, 12, , , 1
2019/9/3, 21, 11, 1, , 1
2019/9/4, 22, 11, , , 1
2019/9/5, 17, 10, , , 1
2019/9/6, 16, 11, , 1, 1
2019/9/7, 16, 11, , , 1
2019/9/8, 20, , , , 
2019/9/10, 21, 9, 1, , 1
2019/9/11, 22, 9, 1, , 1
2019/9/12, 20, 10, , , 1
2019/9/13, 10, 11, , , 1
2019/9/14, 15, 12, 1, , 1
2019/9/15, 17, 11, , , 1
2019/9/16, 19, 7, 1, , 1
2019/9/17, 16, 10, , , 1
2019/9/18, 18, 11, , , 
2019/9/19, 16, 11, 2, , 1
2019/9/20, 16, 12, 2, , 1
2019/9/21, 21, 10, , , 1
2019/9/22, 24, 11, , , 1
2019/9/23, 17, 18, 1, , 1
2019/9/24, 39, 10, 1, , 
2019/9/25, 20, 8, 1, , 1
2019/9/26, 19, 10, , , 
2019/9/27, 10, 12, , , 
2019/9/28, 18, 6, 1, , 1
2019/9/29, 24, 10, , , 
2019/9/30, 18, 12, , , 
2019/10/1, 16, 11, 2, , 1
2019/4/2, 14, 17, , , 1
2019/4/3, 28, 18, , , 1
2019/4/4, 22, 17, , , 1
2019/4/5, 17, 17, , , 1
2019/4/6, 26, 17, 1, , 1
2019/4/7, 17, 18, , , 1
2019/4/8, 18, 15, , , 1
2019/4/9, 28, 15, 1, , 1
2019/4/10, 24, 17, 1, , 1
2019/4/11, 20, 16, , , 1
2019/4/12, 9, 18, 1, , 1
2019/4/13, 23, 17, 1, , 1
2019/4/14, 17, 16, , , 1
2019/4/15, 17, 15, 1, , 1
2019/4/16, 13, 17, , , 1
2019/4/17, 7, 18, , , 1
2019/4/18, 26, 17, 1, , 1
2019/4/19, 18, 18, , , 1
2019/4/20, 15, 15, 1, , 1
2019/4/21, 18, 17, , , 1
2019/4/22, 29, 14, , , 1
2019/4/23, 13, 13, , , 1
2019/4/24, 14, 14, , , 1
2019/4/25, 13, 17, , , 1
2019/4/26, 10, 15, , , 1
2019/4/27, 13, 17, , , 1
2019/4/28, 21, 17, , , 1
2019/4/29, 20, 15, , , 1
2019/4/30, 15, 18, , , 1
2019/5/1, 17, 13, , , 1
2019/5/2, 24, 12, , , 1
2019/5/3, 19, 14, 1, , 1
2019/5/4, 15, 16, 1, , 1
2019/5/5, 15, 16, , , 1
2019/5/6, 17, 14, 1, 1, 1
2019/5/7, 24, 15, 1, , 1
2019/5/8, 25, 13, , , 1
2019/5/9, 12, 14, , , 1
2019/5/10, 15, 14, , 2, 1
2019/5/11, 18, 13, , , 1
2019/5/12, 7, 13, , , 1
2019/5/13, 13, 15, 1, , 1
2019/5/14, 20, 16, 1, , 1
2019/5/15, 19, 16, , , 1
2019/5/16, 16, 14, 1, , 1
2019/5/17, 10, 13, 1, , 1
2019/5/18, 16, 14, , , 
2019/5/19, 18, 14, , , 
2019/5/20, 14, 13, 1, , 1
2019/5/21, 9, 15, 1, , 1
2019/5/22, 9, 14, , , 
2019/5/23, 23, 15, , , 
2019/5/24, 11, 15, 2, , 1
2019/5/25, 9, 15, , , 
2019/5/26, 10, 14, 1, , 1
2019/5/27, 18, 16, 1, , 1
2019/5/28, 12, 13, , , 
2019/5/29, 11, 15, 1, , 1
2019/5/30, 14, 16, , , 1
2019/5/31, 15, 13, , , 1
2019/6/1, 13, 12, , , 1
2019/6/2, 15, 15, , , 
2019/6/3, 9, 16, , , 1
2019/6/4, 16, 15, 1, , 1
2019/6/5, 20, 15, 1, , 1
2019/6/6, 23, 17, 1, , 1
2019/6/7, 12, 13, 1, 1, 1
2019/6/8, 11, 12, , , 
2019/6/9, 14, 10, , , 
2019/6/10, 11, 13, 1, , 
2019/6/11, 12, 11, 1, , 1
2019/6/12, 17, 12, , , 1
2019/6/13, 12, 14, 10, , 1
2019/6/14, 21, 16, , , 
2019/6/15, 14, 12, , 1, 
2019/6/16, 21, 14, , , 1
2019/6/17, 24, 13, 1, 5, 1
2019/6/18, 31, 12, 1, 1, 1
2019/6/19, 30, 13, 1, , 1
2019/6/20, 21, 13, , , 1
2019/6/21, 22, 11, , , 
2019/6/22, 15, 11, , , 
2019/6/23, 4, 10, , , 
2019/6/24, 12, 9, , , 
2019/6/25, 16, 8, , 2, 
2019/6/26, 13, 9, 1, , 1
2019/6/27, 15, 9, , , 
2019/6/28, 10, 7, , , 1
2019/6/29, 11, 9, , , 
2019/6/30, 17, 9, , , 
2019/7/1, 6, 11, , , 
2019/1/2, 20, 16, , , 1
2019/1/3, 23, 14, 6, , 3
2019/1/4, 36, 14, 7, , 3
2019/1/5, 43, 11, 2, , 2
2019/1/6, 26, 14, , , 1
2019/1/7, 11, 16, , , 1
2019/1/8, 26, 16, 2, , 1
2019/1/9, 26, 17, , , 1
2019/1/10, 12, 13, 1, , 1
2019/1/11, 22, 13, 2, , 1
2019/1/12, 20, 14, 1, , 1
2019/1/13, 24, 13, 1, , 1
2019/1/14, 26, 12, 2, , 1
2019/1/15, 26, 16, , , 1
2019/1/16, 21, 13, 3, , 1
2019/1/17, 28, 15, , , 1
2019/1/18, 20, 14, 4, , 2
2019/1/19, 35, 15, 2, , 1
2019/1/20, 27, 16, 1, , 1
2019/1/21, 17, 17, , , 1
2019/1/22, 12, 14, , , 1
2019/1/23, 12, 15, 1, , 1
2019/1/24, 19, 16, 2, , 1
2019/1/25, 15, 17, 2, , 1
2019/1/26, 21, 13, 2, , 1
2019/1/27, 31, 15, 1, , 1
2019/1/28, 29, 15, 1, , 1
2019/1/29, 20, 15, , , 1
2019/1/30, 20, 15, 1, , 1
2019/1/31, 25, 16, 1, , 1
2019/2/1, 25, 14, 1, , 1
2019/2/2, 22, 16, 1, , 1
2019/2/3, 19, 15, , , 1
2019/2/4, 21, 14, 2, , 1
2019/2/5, 25, 15, 1, , 1
2019/2/6, 19, 14, 1, , 1
2019/2/7, 19, 13, , , 1
2019/2/8, 25, 15, 1, , 1
2019/2/9, 15, 16, , , 1
2019/2/10, 16, 17, , , 1
2019/2/11, 15, 16, , , 1
2019/2/12, 16, 15, , , 1
2019/2/13, 20, 17, 2, , 1
2019/2/14, 23, 16, 1, , 1
2019/2/15, 18, 15, 2, , 1
2019/2/16, 21, 17, , , 1
2019/2/17, 15, 16, , , 1
2019/2/18, 15, 16, , , 1
2019/2/19, 13, 15, , , 1
2019/2/20, 15, 16, , , 1
2019/2/21, 23, 14, 2, , 1
2019/2/22, 25, 15, 3, , 2
2019/2/23, 32, 16, 2, , 1
2019/2/24, 17, 15, , 1, 1
2019/2/25, 18, 17, , , 1
2019/2/26, 17, 17, , , 1
2019/2/27, 28, 15, , , 1
2019/2/28, 23, 16, 1, , 1
2019/3/1, 20, 17, 1, , 1
2019/3/2, 21, 17, 1, , 1
2019/3/3, 20, 17, 1, , 1
2019/3/4, 16, 17, 4, , 1
2019/3/5, 22, 17, 3, , 1
2019/3/6, 28, 16, 7, , 2
2019/3/7, 42, 15, 3, , 1
2019/3/8, 32, 15, 3, , 1
2019/3/9, 30, 19, 1, , 1
2019/3/10, 33, 15, 2, 1, 1
2019/3/11, 26, 18, 1, , 1
2019/3/12, 16, 16, 1, , 1
2019/3/13, 23, 16, 2, , 1
2019/3/14, 22, 16, 6, , 2
2019/3/15, 38, 19, 3, , 1
2019/3/16, 28, 19, , , 1
2019/3/17, 13, 18, , , 1
2019/3/18, 20, 17, 1, , 1
2019/3/19, 22, 16, 2, , 1
2019/3/20, 23, 18, 2, , 1
2019/3/21, 26, 19, 1, , 1
2019/3/22, 28, 19, , , 1
2019/3/23, 26, 19, , , 1
2019/3/24, 21, 18, , , 1
2019/3/25, 16, 18, 1, , 1
2019/3/26, 27, 18, 1, , 1
2019/3/27, 22, 16, 1, , 1
2019/3/28, 25, 17, , , 1
2019/3/29, 28, 18, , , 1
2019/3/30, 28, 16, 1, 6, 1
2019/3/31, 22, 17, , , 1
2019/4/1, 13, 16, , , 1
2018/10/2, 14, 9, 2, 1, 1
2018/10/3, 19, 12, 1, , 1
2018/10/4, 14, 11, 1, , 
2018/10/5, 25, 11, , , 
2018/10/6, 17, 9, 1, , 1
2018/10/7, 13, 9, 1, , 1
2018/10/8, 15, 10, 1, , 1
2018/10/9, 20, 8, 2, , 1
2018/10/10, 17, 11, , , 
2018/10/11, 11, 12, , , 
2018/10/12, 14, 13, , , 
2018/10/13, 17, 11, 2, , 1
2018/10/14, 19, 11, , , 
2018/10/15, 20, 10, 2, , 1
2018/10/16, 23, 14, , , 
2018/10/17, 15, 11, 1, , 1
2018/10/18, 17, 10, 1, , 
2018/10/19, 10, 12, 1, , 1
2018/10/20, 22, 15, , , 
2018/10/21, 15, 13, , , 
2018/10/22, 17, 11, 2, , 1
2018/10/23, 16, 10, 6, , 1
2018/10/24, 26, 15, 3, , 2
2018/10/25, 18, 14, 1, , 1
2018/10/26, 15, 12, 1, , 1
2018/10/27, 14, 13, 1, , 1
2018/10/28, 21, 15, , , 1
2018/10/29, 10, 13, 1, , 1
2018/10/30, 12, 9, 2, , 1
2018/10/31, 15, 9, , , 1
2018/11/1, 13, 9, 1, , 1
2018/11/2, 17, 8, 2, , 1
2018/11/3, 18, 15, 1, , 1
2018/11/4, 13, 12, , , 1
2018/11/5, 22, 11, 1, 1, 1
2018/11/6, 33, 13, 1, , 1
2018/11/7, 15, 14, 1, , 1
2018/11/8, 20, 10, , , 1
