date, pm25, pm10, no2, so2, co
2019/5/28, 11, 8, 5, , 1
2019/5/29, 16, 9, 3, , 1
2019/5/30, 13, 10, 3, , 
2019/5/31, 12, 11, 3, , 
2019/6/1, 18, 10, 2, , 
2019/6/2, 12, 10, 2, , 
2019/6/3, 17, 14, 3, 1, 
2019/6/4, 13, 7, 3, 1, 
2019/6/5, 13, 13, 3, , 
2019/6/6, 18, 11, 3, , 
2019/6/7, 19, 9, 3, 2, 
2019/6/8, 16, 9, 2, 2, 
2019/6/9, 12, 10, 3, , 
2019/6/10, 17, 9, 4, , 
2019/6/11, 16, 10, 2, , 
2019/6/12, 15, 11, 3, 1, 
2019/6/13, 13, 10, 3, 1, 
2019/6/14, 13, 9, 3, , 
2019/6/15, 12, 10, 2, 1, 1
2019/6/16, 10, 10, 2, 1, 
2019/6/17, 13, 9, 3, , 1
2019/6/18, 12, 10, 3, , 1
2019/6/19, 19, 11, 3, , 1
2019/6/20, 19, 7, 3, , 1
2019/6/21, 12, 5, 3, 1, 
2019/6/22, 13, 4, 4, 1, 
2019/6/23, 11, 9, 2, 2, 
2019/6/24, 16, 5, 3, 2, 
2019/6/25, 18, 5, 4, 1, 
2019/6/26, 11, 4, 3, 1, 
2019/6/27, 11, 11, 2, 1, 
2019/6/28, 16, 7, 3, 1, 
2019/6/29, 22, 7, 3, 2, 
2019/6/30, 16, 6, 2, 2, 
2019/7/1, 8, 7, 4, 2, 
2019/1/2, 19, 19, 3, , 
2019/1/3, 12, 17, 3, 1, 
2019/1/4, 10, 16, 2, , 
2019/1/5, 11, 17, 2, , 
2019/1/6, 11, 14, 4, 7, 
2019/1/7, 14, 16, 7, , 1
2019/1/8, 11, 12, 6, , 
2019/1/9, 6, 11, 6, , 1
2019/1/10, 11, 10, 7, 1, 
2019/1/11, 9, 12, 9, 1, 1
2019/1/12, 9, 10, 5, 1, 
2019/1/13, 10, 10, 3, , 
2019/1/14, 11, 14, 7, 1, 1
2019/1/15, 11, 16, 9, 2, 1
2019/1/16, 13, 20, 9, 1, 2
2019/1/17, 20, 18, 5, 1, 
2019/1/18, 10, 26, 3, , 
2019/1/19, 12, 34, 3, , 
2019/1/20, 11, 14, 4, , 
2019/1/21, 11, 19, 7, , 1
2019/1/22, 10, 21, 5, , 
2019/1/23, 13, 20, 7, , 1
2019/1/24, 12, 14, 6, , 1
2019/1/25, 13, 16, 8, 2, 1
2019/1/26, 12, 22, 2, , 
2019/1/27, 19, 16, 1, , 
2019/1/28, 13, 26, 3, , 
2019/1/29, 16, 21, 2, , 
2019/1/30, 16, 12, 2, , 
2019/1/31, 15, 11, 2, , 
2019/2/1, 17, 5, 3, , 
2019/2/2, 8, 8, 2, , 
2019/2/3, 7, 7, 1, , 
2019/2/4, 9, 6, 2, 1, 
2019/2/5, 6, 10, 7, 1, 
2019/2/6, 10, 7, 7, 1, 1
2019/2/7, 10, 7, 8, , 
2019/2/8, 10, 15, 4, 1, 
2019/2/9, 14, 25, 6, 7, 
2019/2/10, 22, 26, 3, 2, 
2019/2/11, 27, 14, 8, 2, 
2019/2/12, 12, 12, 3, 1, 
2019/2/13, 11, 12, 3, , 
2019/2/14, 11, 8, 2, , 
2019/2/15, 9, 13, 3, 1, 
2019/2/16, 10, 14, 2, 1, 
2019/2/17, 12, 13, 1, 2, 
2019/2/18, 10, 10, 3, , 
2019/2/19, 12, 7, 6, , 
2019/2/20, 9, 10, 10, 2, 1
2019/2/21, 11, 11, 8, 2, 1
2019/2/22, 16, 13, 8, 2, 1
2019/2/23, 15, 14, 8, 1, 
2019/2/24, 14, 5, 1, 1, 
2019/2/25, 10, 7, 3, , 
2019/2/26, 9, 8, 2, , 2
2019/2/27, 9, 12, 2, , 2
2019/2/28, 7, 15, 3, , 2
2019/3/1, 13, 7, 4, , 2
2019/3/2, 17, 3, 3, , 2
2019/3/4, 13, 8, 2, , 2
2019/3/5, 9, 9, 2, , 2
2019/3/7, 7, 7, 3, , 2
2019/3/8, 5, 10, 2, , 2
2019/3/9, 5, 9, 1, , 2
2019/3/10, 5, 12, 1, , 2
2019/3/11, 9, 31, 3, 1, 2
2019/3/12, 42, 11, 2, , 2
2019/3/13, 13, 6, 2, , 2
2019/3/14, 9, 8, 3, , 2
2019/3/15, 5, 10, 3, , 2
2019/3/16, 8, 9, 6, 2, 2
2019/3/18, 19, 14, 3, , 2
2019/3/19, 7, 14, 4, , 2
2019/3/20, 7, 13, 8, , 2
2019/3/21, 13, 9, 3, 1, 2
2019/3/22, 9, 6, 3, 1, 1
2019/3/23, 5, 9, 2, , 1
2019/3/24, 5, 8, 2, , 1
2019/3/25, 7, 12, 2, , 2
2019/3/26, 9, 13, 2, , 1
2019/3/27, 12, 10, 4, , 2
2019/3/28, 7, 7, 6, 1, 2
2019/3/29, 7, 10, 5, 1, 1
2019/3/30, 6, 17, 2, 1, 1
2019/3/31, 11, 8, 4, 1, 1
2019/4/1, 9, 13, 4, 1, 1
2018/10/2, 5, 10, 4, 1, 
2018/10/3, 9, 10, 3, 1, 
2018/10/5, 8, 7, 5, 1, 
2018/10/6, 8, 10, 3, , 
2018/10/7, 11, 6, 3, 1, 
2018/10/8, 9, 15, 3, 1, 
2018/10/9, 8, 10, 2, 1, 
2018/10/10, 10, 11, 2, 1, 
2018/10/11, 6, 12, 2, , 
2018/10/12, 7, 7, 4, , 2
2018/10/13, 10, 7, 6, 1, 2
2018/10/14, 10, 9, 5, 3, 2
2018/10/15, 13, 8, 2, 1, 2
2018/10/16, 9, 8, 2, 1, 2
2018/10/17, 9, 11, 3, 1, 2
2018/10/18, 5, 9, 3, 2, 2
2018/10/19, 7, 10, 4, 1, 2
2018/10/20, 7, 7, 1, , 2
2018/10/21, 6, 9, 1, 1, 2
2018/10/22, 5, 10, 2, , 2
2018/10/23, 13, 13, 2, , 2
2018/10/24, 9, 12, 3, , 2
2018/10/25, 7, 17, 2, , 2
2018/10/26, 6, 10, 2, , 2
2018/10/27, 5, 12, 2, , 2
2018/10/28, 6, 9, 2, , 2
2018/10/29, 11, 13, 5, , 1
2018/10/30, 11, 5, 4, , 1
2018/10/31, 9, 8, 5, , 1
2018/11/1, 8, 9, 3, , 1
2018/11/2, 5, 11, 3, , 1
2018/11/3, 7, 10, 2, , 1
2018/11/4, 9, 12, 2, , 1
2018/11/5, 10, 10, 2, , 1
2018/11/6, 7, 10, 4, , 1
2018/11/7, 10, 8, 5, , 1
2018/11/8, 14, 7, 5, , 1
2018/11/9, 10, 10, 6, , 1
2018/11/10, 10, 10, 1, , 1
2018/11/11, 13, 7, 1, , 1
2018/11/12, 13, 12, 2, 1, 1
2018/11/13, 11, 10, 3, , 1
2018/11/14, 7, 10, 4, , 1
2018/11/15, 7, 10, 7, 1, 1
2018/11/16, 7, 13, 3, , 1
2018/11/17, 6, 10, 1, , 1
2018/11/18, 10, 8, 1, , 1
2018/11/19, 5, 8, 3, , 1
2018/11/20, 7, 9, 3, , 1
2018/11/21, 7, 11, 4, , 1
2018/11/22, 8, 15, 3, , 1
2018/11/23, 15, 14, 6, 1, 1
2018/11/24, 13, 17, 4, , 1
2018/11/25, 12, 13, 5, 1, 1
2018/11/26, 14, 14, 6, 1, 1
2018/11/27, 11, 13, 3, 2, 1
2018/11/28, 33, 19, 5, 2, 
2018/11/29, 10, 13, 7, 1, 1
2018/11/30, 11, 11, 5, 2, 1
2018/12/1, 9, 10, 4, 2, 
2018/12/2, 10, 5, 2, 1, 
2018/12/3, 10, 10, 5, 2, 
2018/12/4, 10, 18, 4, 3, 
2018/12/5, 15, 21, 5, 2, 
2018/12/6, 18, 18, 5, 2, 
2018/12/7, 16, 14, 3, , 
2018/12/8, 13, 9, 2, , 
2018/12/9, 11, 12, 1, , 
2018/12/10, 10, 12, 4, , 
2018/12/11, 10, 17, 4, , 
2018/12/12, 13, 25, 5, , 
2018/12/13, 13, 19, 3, , 
2018/12/14, 11, 22, 2, , 
2018/12/15, 6, 9, 2, , 
2018/12/16, 9, 11, 2, 1, 
2018/12/17, 8, 21, 7, 2, 
2018/12/18, 9, 15, 8, 2, 
2018/12/19, 9, 21, 3, , 
2018/12/20, 9, 13, 3, , 
2018/12/21, 9, 20, 4, , 
2018/12/22, 16, 13, 2, , 
2018/12/23, 6, 11, 2, , 
2018/12/24, 9, 8, 3, , 
2018/12/25, 8, 6, 2, , 
2018/12/26, 10, 10, 8, , 
2018/12/27, 9, 12, 6, , 1
2018/12/28, 12, 13, 9, , 
2018/12/29, 14, 11, 2, , 
2018/12/30, 10, 13, 2, , 
2018/12/31, 11, , , , 
2018/7/2, 5, 11, , 3, 1
2018/7/3, 31, 5, , 1, 1
2018/7/4, 14, 11, , , 1
2018/7/5, 9, 9, , 1, 1
2018/7/6, 10, 14, , 1, 
2018/7/11, 17, 11, , 1, 
2018/7/12, 8, 16, , 1, 
2018/7/13, 13, 20, , , 
2018/7/14, 23, 8, , , 
2018/7/15, 18, 11, , , 
2018/7/16, 23, 13, , , 
2018/7/17, 15, 12, , , 
2018/7/18, 19, 11, , , 
2018/7/19, 19, 13, , , 
2018/7/20, 18, 12, , , 
2018/7/21, 11, 11, , , 
2018/7/22, 12, 5, , , 
2018/7/23, 6, 10, , , 
2018/7/24, 23, 9, , , 
2018/7/25, 15, 9, , , 
2018/7/26, 8, 4, , , 
2018/7/27, 16, 12, , 1, 
2018/7/28, 14, 9, , , 
2018/7/29, 11, 9, , , 
2018/7/30, 14, 10, , 1, 
2018/7/31, 22, 10, , 1, 
2018/8/1, 19, 16, , , 
2018/8/2, 22, 13, , , 
2018/8/3, 13, 9, , , 
2018/8/4, 11, 10, , 1, 
2018/8/5, 10, 4, , 1, 
2018/8/6, 10, 10, , , 
2018/8/7, 11, 9, , 1, 
2018/8/8, 9, 8, , , 
2018/8/9, 8, 6, , 1, 
2018/8/10, 8, 10, , , 
2018/8/11, 15, 7, , , 
2018/8/12, 11, 10, , 1, 
2018/8/13, 15, 14, , 1, 
2018/8/14, 14, 13, , 1, 
2018/8/15, 9, 9, 4, , 
2018/8/16, 10, 10, 3, , 
2018/8/17, 8, 8, 2, , 
2018/8/18, 8, 2, 1, , 
2018/8/19, 9, 5, 3, , 
2018/8/20, 11, 6, 2, , 
2018/8/21, 9, 11, 2, , 
2018/8/22, 12, 10, 3, , 
2018/8/23, 13, , , , 
2018/8/29, 15, 20, 3, , 2
2018/8/30, 15, 18, 4, , 1
2018/8/31, 14, 16, 2, , 1
2018/9/1, 9, 14, 1, , 1
2018/9/2, 7, 5, 4, , 2
2018/9/3, 5, 9, 5, , 2
2018/9/4, 10, 14, 2, , 1
2018/9/5, 11, 16, 3, 1, 1
2018/9/6, 16, 21, 2, 1, 1
2018/9/7, 12, 23, 3, 1, 1
2018/9/8, 14, 12, 3, 1, 1
2018/9/9, 11, 19, 3, 1, 1
2018/9/10, 12, 18, 3, 1, 1
2018/9/11, 17, 17, 2, 1, 1
2018/9/12, 9, 11, 3, 1, 1
2018/9/13, 8, 10, 4, , 1
2018/9/14, 20, 15, 4, , 1
2018/9/15, 13, 12, 3, 1, 1
2018/9/16, 13, 13, 1, , 
2018/9/17, 12, 16, 3, , 1
2018/9/18, 8, 16, 3, 1, 
2018/9/19, 15, 18, 7, 3, 1
2018/9/20, 18, 19, 7, 1, 1
2018/9/21, 17, 15, 4, , 
2018/9/22, 14, 17, 3, , 
2018/9/23, 15, 11, 3, , 
2018/9/24, 9, 7, , 1, 
2018/9/25, 13, 8, 1, 1, 
2018/9/26, 13, 5, 3, 2, 
2018/9/27, 8, 4, 4, 1, 
2018/9/28, 5, 5, 3, 2, 
2018/9/29, 8, 6, 2, 2, 
2018/9/30, 9, 5, 2, 2, 
2018/10/1, 8, 5, 3, 1, 
2018/4/2, 37, 7, 5, , 10
2018/4/3, 26, 4, 4, , 17
2018/4/4, 14, 10, 1, , 9
2018/4/5, 21, 6, 2, , 9
2018/4/6, 23, 8, 2, , 11
2018/4/7, 20, 8, 5, 1, 11
2018/4/8, 20, 3, 3, 1, 9
2018/4/9, 12, 9, 1, 1, 15
2018/4/10, 26, 12, 2, 2, 14
2018/4/11, 23, 12, 2, 2, 10
2018/4/12, 30, 9, 3, 2, 8
2018/4/13, 18, , 3, 2, 9
2018/4/24, 13, 8, 1, , 14
2018/4/25, 9, 14, 1, , 14
2018/4/26, 13, 5, 3, , 14
2018/4/27, 8, 7, 6, , 16
2018/4/28, 16, 11, 3, 2, 17
2018/4/29, 14, 9, 4, , 16
2018/4/30, 11, 10, 5, , 16
2018/5/1, 16, 9, 5, , 16
2018/5/2, 16, 9, 10, , 16
2018/5/3, 19, 10, 9, 3, 16
2018/5/4, 20, 9, 5, 1, 16
2018/5/5, 15, 5, 3, 1, 16
2018/5/6, 12, 10, 1, , 16
2018/5/7, 13, 13, 1, , 16
2018/5/8, 17, 9, 1, , 16
2018/5/9, 10, 12, 2, , 16
2018/5/10, 10, 7, 4, , 17
2018/5/11, 12, 10, 6, , 17
2018/5/12, 31, 5, 1, , 16
2018/5/13, 8, 4, 1, , 16
2018/5/14, 7, 2, 1, , 16
2018/5/16, 9, 8, 4, , 20
2018/5/17, 10, 8, 3, 1, 18
2018/5/18, 14, 10, 1, , 19
2018/5/19, 12, 15, 1, 1, 24
2018/5/20, 12, 17, 1, 2, 23
2018/5/21, 13, 13, 2, 1, 23
2018/5/22, 10, 10, 2, 1, 21
2018/5/23, 10, 10, 2, 1, 23
2018/5/24, 9, 10, , 2, 25
2018/5/25, 10, 13, , 1, 1
2018/5/26, 10, 10, , , 1
2018/5/27, 10, 4, , , 1
2018/5/28, 6, 5, , , 1
2018/5/29, 9, 10, , , 1
2018/5/30, 24, 12, , , 1
2018/5/31, 13, 13, , , 
2018/6/1, 9, 10, , , 
2018/6/2, 9, 11, , , 
2018/6/3, 12, 8, , , 
2018/6/4, 10, 7, , , 
2018/6/5, 9, 7, , , 
2018/6/6, 11, 10, , , 
2018/6/7, 22, 6, , , 
2018/6/8, 9, 9, , , 2
2018/6/9, 8, 7, , 1, 2
2018/6/10, 13, 7, , , 2
2018/6/11, 9, 10, , 1, 1
2018/6/12, 13, 8, , , 1
2018/6/13, 9, 6, , , 1
2018/6/14, 10, 10, , , 1
2018/6/15, 16, 11, , 1, 1
2018/6/16, 11, 13, , 2, 2
2018/6/17, 29, 11, , 1, 1
2018/6/18, 18, 8, , 2, 1
2018/6/19, 7, 5, , , 1
2018/6/20, 10, 7, , 5, 1
2018/6/21, 21, 8, , , 1
2018/6/22, 6, 8, , , 1
2018/6/23, 8, 12, , , 1
2018/6/24, 11, 4, , , 
2018/6/25, 8, 6, , , 
